Code,Name,Customer Type,Bank Name,Bank Account Number,Sales Account,Tin,Term,Street,City,Province,Country,Zip Code,Mobile,Landline,Fax,Email,Website,Contact Person,Contact Role,Status
R4A_11,GERODIAS HEALTH CARE SYSTEM CORPORATION,,,,,,30,SAN PEDRO LAGUNA,,,,,,,,,,,,Active
R6_03,ECG DYNAMIC MEDICAL SYSTEM INC.,,,,,008-638-823-00000,30,UNIT 405 4TH FLOOR ELIZABETH CENTER NATIONAL RD. PUTATAN MUNTINLUPA CITY,,,,,,,,,,,,Active
R4A_11,RB LIRIO MEDICAL AND DIAGNOSTIC CLINIC,,,,,206-926-503-0000,30,CALAMBA LAGUNA,,,,,,,,,,,,Active
R4A_12,THE PARAMOUNT MEDICAL CENTER INC.,,,,,,30,BRGY. BUGTONG NA PULO LIPA CITY BATANGAS,,,,,,,,,,,,Active
R4A_13,DCA MEDICAL LABORATORY,,,,,,30,KUMINTANG ILAYA BATANGAS CITY BATANGAS,,,,,,,,,,,,Active
NCR_47,ORCA GENERAL MERCHANDISE OPC,,,,,,30,MAMA FINAS BLDG. 1159 DOS CAATILLAS ST. BRGY. 481 ZONE SAMPALCO,,,,,,,,,,,,Active
R5_101,MA ROSITA HEALTHCARE CENTER INC.,,,,,,30,"1876 B-1-B MAHARLIKA HIGHWAY, CONCEPCION PEQUENA N.C",,,,,,,,,,,,Active
R4A_14,HEALTHWAY QUALIMED HOSPITAL SANTA ROSA,,,,,,30,NUVALI NORTH SANTO DOMINGO SANTA ROSA LAGUNA,,,,,,,,,,,,Active
R4A_15,SOUTHWEST MEDICAL CLINIC AND LABORATORY,,,,,,30,201-1 MALVAR ST. SAN VICENTE BINAN LAGUNA,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
,,,,,,,,,,,,,,,,,,,,Active
